"","Word","List","ValMn","ValSD","AroMn","AroSD"
"185","leave",1,3.83,"1.44",4.36,"1.44"
"186","pinch",2,3.83,"1.70",4.59,"1.70"
"187","fool",1,3.84,"1.86",4.48,"1.86"
"188","junk",4,3.85,"1.72",4.15,"1.72"
"189","rusty",3,3.86,"1.47",3.77,"1.47"
"190","timid",2,3.86,"1.55",4.11,"1.55"
"191","detached",6,3.86,"1.88",4.26,"1.88"
"192","meek",5,3.87,"1.69",3.8,"1.69"
"193","naive",5,3.88,"1.40",4.07,"1.40"
"194","little",3,3.89,"1.84",3.65,"1.84"
"195","butcher",4,3.89,"1.78",4.38,"1.78"
"196","dust",6,3.9,"1.89",4.1,"1.89"
"197","slow",1,3.93,"1.60",3.39,"1.60"
"198","pungent",2,3.95,"2.09",4.24,"2.09"
"199","alimony",4,3.95,"2.00",4.3,"2.00"
"200","stop",6,3.96,"1.37",4.26,"1.37"
"201","nosey",3,3.97,"1.72",4.48,"1.72"
"202","dustpan",5,3.98,"1.68",3.43,"1.68"
"203","crap",1,3.99,"1.73",4.03,"1.73"
"204","sludge",2,4,"1.77",3.8,"1.77"
"205","cane",1,4,"1.80",4.2,"1.80"
"206","exhaust",6,4,"1.66",4.27,"1.66"
"207","lower",2,4,"1.58",4.36,"1.58"
"208","smudge",3,4,"1.34",4.43,"1.34"
"209","haphazard",5,4.02,"1.41",4.07,"1.41"
"210","ash",4,4.04,"1.76",4.41,"1.76"
"211","excuse",5,4.05,"1.41",4.48,"1.41"
"212","slouch",1,4.07,"1.26",3.83,"1.26"
"213","insect",6,4.07,"2.16",4.07,"2.16"
"214","bland",3,4.1,"1.08",3.29,"1.08"
"215","defer",4,4.1,"1.54",4.48,"1.54"
"216","blues",2,4.11,"2.18",3.46,"2.18"
"217","smug",2,4.11,"1.70",3.81,"1.70"
"218","habit",1,4.11,"1.77",3.95,"1.77"
"219","report",6,4.11,"1.75",4.18,"1.75"
"220","listless",5,4.12,"1.73",4.1,"1.73"
"221","gullible",4,4.12,"1.92",4.19,"1.92"
