Word	Wdnum	ValMn	ValSD	AroMn	AroSD	DomMn	DomSD	Length
appreciate	2522	7.33	(1.64)	4.86	(2.49)	5.98	(2.00)	10
appreciation	2523	7.33	(1.76)	5.51	(2.60)	5.31	(2.14)	12
appreciative	1457	7.40	(1.55)	6.00	(2.07)	5.93	(1.62)	12
apprehension	1458	2.93	(1.44)	5.47	(2.5)	3.13	(1.51)	12
approve	2524	6.95	(1.87)	5.17	(2.41)	6.34	(1.96)	7
arbitrary	2525	4.83	(1.48)	4.05	(2.00)	5.13	(1.96)	9
arch	1459	5.33	(0.72)	4.33	(2.19)	5.13	(1.51)	4
archery	2526	5.54	(1.72)	4.92	(2.40)	5.50	(1.69)	7
area	1460	5.13	(1.96)	3.88	(2.22)	4.56	(1.09)	4
arena	1461	6.00	(1.46)	5.93	(2.28)	4.53	(1.36)	5
argue	1462	2.60	(0.91)	5.73	(1.71)	3.87	(1.55)	5
arm	642	5.21	(1.86)	2.92	(1.89)	5.08	(0.97)	3
army	23	4.55	(1.99)	5.42	(2.04)	4.85	(2.58)	4
aroma	1463	8.00	(1.03)	4.63	(2.75)	5.31	(2.02)	5
aromatic	2527	6.37	(1.57)	5.05	(2.22)	5.25	(1.42)	8
arouse	1464	7.21	(1.53)	6.64	(2.27)	5.79	(1.72)	6
aroused	24	7.96	(0.96)	6.77	(2.61)	6.15	(1.69)	7
arrogance	2528	2.82	(1.55)	4.70	(2.45)	5.15	(2.30)	9
arrogant	25	2.90	(1.71)	6.10	(1.62)	4.55	(2.76)	8
arrow	1465	4.73	(1.62)	5.07	(1.75)	4.33	(2.23)	5
arson	1466	2.00	(1.34)	6.36	(2.73)	2.55	(1.75)	5
art	643	7.50	(1.44)	5.08	(3.13)	5.75	(2.13)	3
artist	1467	7.24	(0.83)	5.18	(2.6)	5.94	(1.25)	6
artistic	2529	7.02	(1.68)	5.55	(2.32)	6.28	(2.06)	8
ash	1468	3.91	(1.7)	4.73	(1.95)	4.82	(1.08)	3
ashamed	2530	2.26	(1.63)	4.85	(2.54)	3.17	(2.17)	7
asleep	2531	7.09	(1.94)	3.51	(2.68)	5.76	(2.08)	6
asphalt	1469	5.00	(0.45)	3.36	(1.91)	4.64	(0.81)	7
aspire	1470	7.71	(1.38)	5.86	(2.57)	6.93	(1.59)	6
ass	1471	5.25	(2.24)	5.50	(1.93)	4.44	(1.82)	3
assassin	26	2.50	(1.8)	6.53	(2.42)	4.09	(2.73)	8
assault	27	1.78	(1.35)	7.70	(2.32)	3.09	(2.98)	7
asshole	2532	3.32	(1.89)	5.39	(2.20)	4.76	(2.05)	7
assume	1472	4.33	(1.63)	5.07	(1.79)	3.87	(1.85)	6
assure	1473	8.08	(0.9)	4.58	(2.47)	6.33	(2.74)	6
astonished	28	6.60	(1.7)	6.70	(2.18)	5.15	(1.69)	10
astronaut	501	6.54	(1.58)	5.62	(2.1)	5.08	(2.08)	9
athlete	1474	7.55	(1.04)	6.36	(1.86)	6.27	(1.19)	7
athletics	644	6.45	(2.16)	5.45	(2.37)	6.05	(2.31)	9
atlas	1475	5.29	(1.33)	4.57	(1.79)	5.29	(1.33)	5
atom	1476	4.33	(1.8)	3.80	(1.57)	4.40	(2.06)	4
atrocity	2533	3.24	(1.75)	4.80	(2.61)	4.36	(2.38)	8
attack	1477	2.14	(2.14)	7.57	(2.1)	2.07	(1.64)	6
attain	1478	7.27	(1.53)	5.93	(1.91)	6.40	(1.35)	6
attend	1479	6.54	(2.3)	5.23	(2.45)	5.23	(2.28)	6
attract	2534	6.86	(1.85)	6.20	(2.42)	5.27	(2.14)	7
attractive	2535	7.57	(1.47)	6.61	(2.19)	5.37	(1.92)	10
aunt	1480	6.71	(2.05)	5.07	(1.64)	5.43	(1.65)	4
aura	2536	6.12	(1.42)	4.49	(2.03)	5.27	(1.47)	4
authentic	2537	6.35	(1.82)	3.93	(2.13)	5.62	(2.00)	9
author	2538	5.75	(1.51)	4.25	(1.86)	5.49	(1.22)	6
auto	1481	5.71	(1.49)	4.64	(2.65)	5.29	(1.27)	4
automobile	2539	5.93	(1.79)	4.82	(2.19)	5.65	(2.12)	10
autumn	29	6.47	(2.27)	4.34	(2.55)	5.25	(1.97)	6
avalanche	645	2.95	(1.7)	5.80	(2.55)	3.20	(2.07)	9
avenge	1482	4.17	(0.83)	5.64	(1.21)	6.00	(1.26)	6
avenue	646	5.82	(1.44)	3.86	(2.17)	5.73	(1.45)	6
average	2540	4.38	(1.34)	3.67	(1.79)	4.67	(1.67)	7
avert	1483	5.13	(1.5)	4.88	(2.28)	4.13	(1.63)	5
avoid	1484	3.62	(1.76)	5.45	(2.3)	4.27	(1.79)	5
await	1485	4.31	(1.7)	5.62	(2.63)	3.77	(2.17)	5
awaken	1486	6.06	(1.56)	5.24	(2.33)	5.65	(1.41)	6
award	1487	9.00	(0)	7.69	(1.97)	7.69	(2.43)	5
aware	2541	6.28	(1.44)	4.78	(2.17)	6.41	(2.19)	5
awe	1488	6.57	(1.83)	5.23	(2.49)	4.31	(1.38)	3
awed	30	7.05	(1.19)	5.42	(2.48)	5.85	(1.63)	4
awesome	2542	8.23	(1.24)	6.45	(2.51)	6.17	(2.15)	7
awful	1489	2.93	(2.09)	5.73	(2.15)	4.07	(1.71)	5
awkward	1490	3.13	(1.88)	5.27	(2.05)	3.13	(1.6)	7
awning	1491	5.21	(1.31)	3.79	(2.36)	4.64	(1.15)	6
baby	31	8.65	(0.67)	4.95	(2.96)	5.35	(2.7)	4
backyard	1492	7.25	(1.18)	4.81	(2.83)	6.13	(2.06)	8
bacon	1493	6.62	(2.69)	5.31	(2.39)	5.77	(1.96)	5
bad	1494	2.64	(1.43)	5.09	(2.17)	3.09	(1.45)	3
badge	1495	5.67	(1.72)	4.20	(1.82)	5.33	(1.29)	5
baffle	1496	3.64	(1.36)	5.55	(1.75)	3.36	(1.36)	6
bag	2543	5.08	(1.07)	3.51	(1.82)	5.08	(1.38)	3
bake	647	6.05	(2.06)	5.45	(2.06)	5.71	(2.08)	4
balcony	1497	6.44	(1.31)	4.81	(2.46)	4.56	(1.75)	7
bald	1498	4.42	(2.19)	4.00	(2.17)	5.50	(1.24)	4
ballet	1499	6.73	(1.67)	4.87	(1.81)	6.00	(1.56)	6
balloon	2544	6.53	(1.69)	4.85	(2.38)	5.15	(2.06)	7
balloons	1500	7.27	(1.33)	4.40	(1.72)	5.07	(1.22)	8
ban	1501	3.67	(1.5)	5.80	(2.31)	3.53	(2.29)	3
banana	1502	6.85	(1.68)	4.46	(2.3)	5.31	(1.65)	6
band	1503	6.40	(1.55)	5.00	(2.04)	4.87	(0.83)	4
bandage	648	5.05	(1.56)	4.19	(2.23)	4.73	(1.83)	7
banish	1504	1.69	(0.95)	5.85	(2.54)	3.15	(2.27)	6
bank	2545	5.75	(1.70)	4.69	(2.06)	5.30	(1.71)	4
bankrupt	32	1.85	(1.16)	6.56	(2.77)	3.48	(2.38)	8
banner	649	5.45	(0.96)	4.19	(2.02)	4.81	(1.4)	6
banquet	2546	6.42	(1.93)	5.47	(2.34)	5.55	(1.83)	7
bar	650	5.91	(1.93)	4.78	(2.81)	5.13	(1.66)	3
barf	2547	2.06	(1.30)	5.22	(2.87)	4.23	(2.45)	4
bargain	1505	7.65	(1.17)	6.18	(2.1)	6.29	(1.05)	7
bark	1506	5.53	(2.07)	5.93	(1.94)	5.47	(1.64)	4
barn	1507	5.13	(1.86)	4.75	(2.29)	5.31	(2.55)	4
barrel	651	4.83	(1.27)	3.04	(1.85)	4.88	(0.99)	6
baseball	2548	5.15	(1.88)	4.27	(2.26)	5.27	(1.80)	8
basement	1508	4.50	(1.46)	5.00	(1.86)	4.31	(1.7)	8
basic	2549	4.71	(1.29)	3.67	(1.70)	5.69	(1.45)	5
basin	1509	4.86	(1.23)	4.14	(2.14)	4.29	(1.27)	5
