Word	Wdnum	ValMn	ValSD	AroMn	AroSD	DomMn	DomSD	Length
attack	1477	3.19	(1.94)	6.56	(2.31)	4.38	(2.7)	6
attain	1478	6.13	(1.25)	5.13	(2.07)	5.67	(1.5)	6
attend	1479	6.07	(1)	4.29	(1.68)	5.46	(0.78)	6
attract	2534	7.28	(1.61)	6.78	(2.15)	5.66	(2.13)	7
attractive	2535	7.38	(1.70)	7.00	(1.95)	5.81	(2.26)	10
aunt	1480	6.07	(2.06)	4.86	(1.79)	5.36	(1.08)	4
aura	2536	5.96	(1.68)	4.86	(2.24)	5.46	(1.83)	4
authentic	2537	6.23	(1.85)	4.88	(2.09)	5.79	(1.57)	9
author	2538	5.94	(1.29)	4.47	(2.34)	5.53	(1.63)	6
auto	1481	6.86	(1.7)	5.15	(1.86)	5.08	(2.22)	4
automobile	2539	5.71	(1.90)	4.60	(2.17)	6.00	(1.95)	10
autumn	29	5.93	(1.83)	4.87	(2.45)	4.93	(1.62)	6
avalanche	645	3.62	(2.16)	5.29	(2.22)	4.00	(1.9)	9
avenge	1482	4.94	(1.44)	6.06	(2.08)	6.56	(1.5)	6
avenue	646	5.15	(1.23)	4.40	(1.85)	5.05	(1.57)	6
average	2540	4.40	(1.47)	3.67	(1.86)	4.88	(1.93)	7
avert	1483	5.21	(1.42)	4.57	(2.24)	5.29	(1.77)	5
avoid	1484	3.63	(1.2)	4.75	(2.29)	4.25	(2.11)	5
await	1485	4.93	(2.02)	3.60	(2.64)	3.73	(2.4)	5
awaken	1486	4.53	(1.92)	4.73	(2.12)	4.47	(1.96)	6
award	1487	7.93	(1.27)	6.79	(2.04)	6.86	(1.99)	5
aware	2541	6.50	(1.70)	4.70	(2.19)	6.39	(2.04)	5
awe	1488	6.40	(1.45)	5.73	(1.62)	4.53	(2)	3
awed	30	6.35	(1.5)	6.05	(2.16)	4.75	(2.27)	4
awesome	2542	7.94	(1.29)	7.09	(1.69)	5.88	(2.14)	7
awful	1489	2.36	(1.39)	5.71	(2.23)	3.86	(2.32)	5
awkward	1490	3.27	(1.75)	6.13	(1.51)	2.93	(1.64)	7
awning	1491	5.00	(1.63)	4.13	(1.36)	5.63	(1.45)	6
