,Subject,Valence,Arousal,Confidence,RT,dPrime,Accuracy,MetadPrime,Mratio
35,11121,Low,Low,4.578231292517007,1.5494381315988903,1.7144361607147593,0.7972972972972973,2.0660999592881497,1.2051192144866913
36,11122,High,High,4.606896551724138,1.2922999684010392,1.668166415347975,0.7891156462585034,1.67525063294176,1.0042467091583949
37,11122,High,Low,4.837837837837838,1.377417357592094,1.4928839132865246,0.7702702702702703,1.80798052736079,1.2110657173474344
38,11122,Low,High,4.547297297297297,1.4183806274552353,1.4374096002656245,0.7635135135135135,2.10197156288514,1.4623330486290815
39,11122,Low,Low,4.136054421768708,1.367311637545754,1.2544967860330338,0.7346938775510204,1.9990136098879998,1.593478462554914
40,11123,High,High,4.2885906040268456,1.1249552883273282,1.4899563331171428,0.7516778523489933,1.47771112629181,0.9917814995291072
41,11123,High,Low,4.431506849315069,1.127176836867875,1.2989838804001352,0.726027397260274,2.07388820968592,1.5965465322380177
42,11123,Low,High,4.563758389261745,1.0707485415568954,1.3270983388514899,0.7449664429530202,1.56290618961483,1.1776867952132433
43,11123,Low,Low,4.224489795918367,1.084585340346166,0.9486411507176062,0.6824324324324325,1.26003373460932,1.328251187138739
44,11124,High,High,4.971014492753623,1.2232221081239913,1.700823869250156,0.7986111111111112,1.85836647657931,1.0926272321181674
45,11124,High,Low,4.76595744680851,1.160354409052161,1.6773394681685727,0.7832167832167832,2.27349537552987,1.3554175637518495
46,11124,Low,High,5.006896551724138,1.22348404283548,2.3090571016275945,0.8758620689655172,2.09874138338246,0.9089170561884813
47,11124,Low,Low,4.791946308724833,1.2577514549175248,2.2172335338984994,0.8657718120805369,2.3449460978078505,1.0575999604718216
48,11125,High,High,4.8561643835616435,1.7577926779540576,1.398734946379737,0.7551020408163265,1.3896654247000102,0.9935159111429933
49,11125,High,Low,4.739726027397261,1.6955215099242196,1.036593008317709,0.684931506849315,1.6528632364383302,1.5945151309873955
50,11125,Low,High,5.2,1.6409495863099437,1.7318681208432944,0.8066666666666666,2.06236335053099,1.1908316376461554
51,11125,Low,Low,4.54421768707483,1.7285663461534568,1.2457373051099114,0.7278911564625851,1.03135852572073,0.8279101231778021
56,11127,High,High,4.605633802816901,1.4231681046585436,1.6976003551162477,0.7847222222222222,2.43301482529619,1.4332082447812535
57,11127,High,Low,4.715277777777778,1.3061874537852418,1.9607384015569869,0.8333333333333334,2.4877303873838503,1.268772206128257
58,11127,Low,High,3.9722222222222223,1.4959195687151805,1.2453507425091555,0.7291666666666666,1.96417577314606,1.5772068912799642
59,11127,Low,Low,4.299319727891157,1.5367992698556918,1.7032553537470867,0.8027210884353742,1.87186958325224,1.0989952734533959
60,11128,High,High,3.6,1.4958278115318535,1.0586556021346292,0.7,1.3015534349011002,1.229439897429062
