"","SUBJ","RT.median","Confidence_RT.median","Accuracy_in_percent","Handedness_R_1","Total_Accepted_Trials","Gender_M_1","meta_d_0_30","meta_d_0_60","meta_d_0_90","meta_d_1_30","meta_d_1_60","meta_d_1_90","d_0_30","d_0_60","d_0_90","d_1_30","d_1_60","d_1_90","criterion_0_30","criterion_0_60","criterion_0_90","criterion_1_30","criterion_1_60","criterion_1_90","mratio_0_30","mratio_0_60","mratio_0_90","mratio_1_30","mratio_1_60","mratio_1_90","Confidence.mean_0_30","Confidence.mean_0_60","Confidence.mean_0_90","Confidence.mean_1_30","Confidence.mean_1_60","Confidence.mean_1_90","Accuracy.mean_0_30","Accuracy.mean_0_60","Accuracy.mean_0_90","Accuracy.mean_1_30","Accuracy.mean_1_60","Accuracy.mean_1_90"
"27","Subject_47203.txt",1.23063126123452,1.1675,0.84,1,50,0,NA,NA,2.08328210059596,NA,NA,NA,NA,NA,1.54718684991412,NA,NA,NA,NA,NA,0.530189247146428,NA,NA,NA,NA,NA,1.34649677297322,NA,NA,NA,NA,NA,4.88,NA,NA,NA,NA,NA,0.76,NA,NA,NA
"28","Subject_47284.txt",1.36400371105992,1.193,0.86,1,50,0,NA,NA,NA,1.2888112051255,NA,NA,NA,NA,NA,0.967610268218755,NA,NA,NA,NA,NA,0.431559953733437,NA,NA,NA,NA,NA,1.3319527990314,NA,NA,NA,NA,NA,4.53191489361702,NA,NA,NA,NA,NA,0.680851063829787,NA,NA
"29","Subject_47617.txt",1.14532152055472,1.1825,0.680851063829787,1,47,0,NA,NA,NA,NA,1.97485278645295,NA,NA,NA,NA,NA,1.05661267040619,NA,NA,NA,NA,NA,0.576529408759016,NA,NA,NA,NA,NA,1.86904136375136,NA,NA,NA,NA,NA,4.86,NA,NA,NA,NA,NA,0.68,NA
"30","Subject_11114.txt",0.984695661594742,1.2345,0.68,1,50,0,NA,NA,NA,NA,NA,2.85169047122756,NA,NA,NA,NA,NA,2.24893471541312,NA,NA,NA,NA,NA,0.44997760751048,NA,NA,NA,NA,NA,1.26801834294408,NA,NA,NA,NA,NA,5.74,NA,NA,NA,NA,NA,0.86
"31","Subject_11115.txt",1.27634762485104,1.1255,0.82,1,50,0,1.45325829119882,NA,NA,NA,NA,NA,1.39050125830171,NA,NA,NA,NA,NA,0.246825145844921,NA,NA,NA,NA,NA,1.04513266890082,NA,NA,NA,NA,NA,4.84,NA,NA,NA,NA,NA,0.76,NA,NA,NA,NA,NA
"32","Subject_11116.txt",1.25017836589541,1.358,0.76,1,50,0,NA,1.09699159057961,NA,NA,NA,NA,NA,0.893852701439854,NA,NA,NA,NA,NA,0.495149424275849,NA,NA,NA,NA,NA,1.22726215271546,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,0.66,NA,NA,NA,NA
"33","Subject_11117.txt",1.27055618716986,1.268,0.66,1,50,0,NA,NA,1.79113737513348,NA,NA,NA,NA,NA,2.02287044852298,NA,NA,NA,NA,NA,0.563009740955554,NA,NA,NA,NA,NA,0.885443443222624,NA,NA,NA,NA,NA,5.44,NA,NA,NA,NA,NA,0.82,NA,NA,NA
"34","Subject_11118.txt",1.80441170053382,1.25,0.76,1,50,0,NA,NA,NA,0.837352817537292,NA,NA,NA,NA,NA,0.957688040732648,NA,NA,NA,NA,NA,0.378410299854854,NA,NA,NA,NA,NA,0.874348203092003,NA,NA,NA,NA,NA,3.95652173913043,NA,NA,NA,NA,NA,0.673913043478261,NA,NA
"35","Subject_11119.txt",1.25438456071424,1.151,0.78,1,50,0,NA,NA,NA,NA,1.97440030984315,NA,NA,NA,NA,NA,1.97827242229957,NA,NA,NA,NA,NA,0.314646460953702,NA,NA,NA,NA,NA,0.998042679859069,NA,NA,NA,NA,NA,5.32,NA,NA,NA,NA,NA,0.84,NA
"36","Subject_11120.txt",1.21553031128133,1.0845,0.62,1,50,0,NA,NA,NA,NA,NA,1.72723174421989,NA,NA,NA,NA,NA,1.91854742810006,NA,NA,NA,NA,NA,0.615171251167014,NA,NA,NA,NA,NA,0.900280972428382,NA,NA,NA,NA,NA,4.82,NA,NA,NA,NA,NA,0.8
