,Accuracy,Arousal,Confidence,Confidence_RT,Expected,KeyPressed,LearningTime,LeftWord,MarkerStart,RT,RightWord,TrialNumber,Valence,nBlock
93,1.0,High,4,0.814,left,left,30.0,smiling,5.0,1.6965518281213008,diamond,43.0,High,1.0
94,1.0,High,3,0.834,right,right,30.0,diploma,2.0,1.1449508338992018,engaged,44.0,High,1.0
95,1.0,High,2,0.832,right,right,30.0,sex,2.0,0.9358745766803622,giggle,45.0,High,1.0
96,1.0,High,2,0.938,left,left,30.0,joke,3.0,2.970083613821771,god,46.0,High,1.0
97,1.0,High,4,1.105,left,left,30.0,enthusiastic,6.0,1.0076899436244275,enjoy,47.0,High,1.0
98,0.0,High,3,0.797,right,left,30.0,excellence,2.0,1.4857698669657111,affection,48.0,High,1.0
99,1.0,High,3,0.744,left,left,30.0,funny,4.0,1.2394940568192396,ecstatic,49.0,High,1.0
100,1.0,Low,7,0.836,left,left,90.0,mane,5.0,0.9152643343841191,vegetable,0.0,High,2.0
101,1.0,Low,7,0.896,left,left,90.0,carrot,4.0,0.8894404187449254,easel,1.0,High,2.0
102,1.0,Low,7,0.893,right,right,90.0,coat,5.0,0.7927279330033343,cup,2.0,High,2.0
103,1.0,Low,7,0.772,right,right,90.0,chew,5.0,0.6571958444546908,suburban,3.0,High,2.0
104,1.0,Low,7,1.02,right,right,90.0,chess,3.0,0.7884561341779772,hat,4.0,High,2.0
105,1.0,Low,7,0.749,right,right,90.0,sensitive,5.0,0.9115751119097695,cattle,5.0,High,2.0
106,1.0,Low,7,0.861,right,right,90.0,outlet,4.0,0.9463789158617146,refine,6.0,High,2.0
107,1.0,Low,7,1.325,left,left,90.0,telescope,1.0,1.1758626685186755,farm,7.0,High,2.0
108,0.0,Low,7,1.221,left,right,90.0,beads,2.0,1.178217354870867,tend,8.0,High,2.0
109,1.0,Low,7,1.034,right,right,90.0,number,3.0,1.0819485382235143,method,9.0,High,2.0
110,1.0,Low,3,1.079,right,right,90.0,read,6.0,0.9983844413654879,quiet,10.0,High,2.0
111,1.0,Low,7,0.892,left,left,90.0,dew,4.0,0.9154484746977687,windmill,11.0,High,2.0
112,1.0,Low,7,1.29,left,left,90.0,straighten,1.0,0.8874014015018474,golfer,12.0,High,2.0
113,1.0,Low,7,1.034,left,left,90.0,scarf,3.0,0.7984426990151405,candle,13.0,High,2.0
114,1.0,Low,7,1.282,left,left,90.0,land,1.0,1.2425930036988575,send,14.0,High,2.0
115,0.0,Low,1,0.984,left,right,90.0,teacher,4.0,2.3465742201078683,pecan,15.0,High,2.0
116,1.0,Low,7,0.672,right,right,90.0,rink,5.0,1.00555596902268,leg,16.0,High,2.0
117,1.0,Low,7,1.101,right,right,90.0,cat,2.0,0.9965103163558524,den,17.0,High,2.0
118,0.0,Low,3,1.895,left,right,90.0,harvest,3.0,1.9517401581106242,gender,18.0,High,2.0
119,1.0,Low,7,0.808,left,left,90.0,sheltered,6.0,1.1325374022999313,modest,19.0,High,2.0
120,1.0,Low,7,0.789,left,left,90.0,owl,6.0,0.8315687087306287,cinnamon,20.0,High,2.0
121,1.0,Low,7,0.769,left,left,90.0,crackers,6.0,1.1123024982807692,slogan,21.0,High,2.0
122,1.0,Low,7,0.795,left,left,90.0,lamb,5.0,1.5331580899073742,piano,22.0,High,2.0
123,1.0,Low,7,0.959,right,right,90.0,groceries,3.0,1.5143687195086386,window,23.0,High,2.0
124,1.0,Low,7,1.287,right,right,90.0,town,2.0,0.7212481249007396,inform,24.0,High,2.0
125,1.0,Low,7,0.802,left,left,90.0,listen,6.0,1.2951371556555387,porpoise,25.0,High,2.0
126,1.0,Low,7,1.263,left,left,90.0,corn,1.0,0.9967502762156073,prefer,26.0,High,2.0
127,1.0,Low,7,1.301,left,left,90.0,orchestra,1.0,1.5742974116292316,vegetables,27.0,High,2.0
128,0.0,Low,2,1.565,right,left,90.0,relate,1.0,1.8669512393826153,buffalo,28.0,High,2.0
129,1.0,Low,7,0.935,right,right,90.0,adorn,4.0,0.8420095290930476,pancakes,29.0,High,2.0
130,1.0,Low,7,0.942,left,left,90.0,logical,3.0,2.166589888074668,pond,30.0,High,2.0
131,1.0,Low,7,0.706,left,left,90.0,dawn,6.0,1.320763136522146,green,31.0,High,2.0
132,1.0,Low,7,0.904,right,right,90.0,soup,4.0,1.2211451474868227,moral,32.0,High,2.0
133,1.0,Low,7,1.013,right,right,90.0,tidy,4.0,-3.1423776814190205,crystal,33.0,High,2.0
134,1.0,Low,7,1.112,right,right,90.0,person,2.0,0.9361989074677695,violinist,34.0,High,2.0
135,1.0,Low,7,0.708,left,left,90.0,tenderness,6.0,1.5031409719376825,polite,35.0,High,2.0
136,1.0,Low,6,0.966,right,right,90.0,oxygen,5.0,1.1627069012320135,sheep,36.0,High,2.0
137,1.0,Low,7,1.153,right,right,90.0,saint,2.0,1.590837639552774,clearer,37.0,High,2.0
138,1.0,Low,3,0.892,left,left,90.0,innocent,3.0,1.216956436401233,pear,38.0,High,2.0
139,1.0,Low,6,0.852,left,left,90.0,nestle,5.0,1.398758432304021,lounge,39.0,High,2.0
140,1.0,Low,7,0.733,right,right,90.0,bathtub,5.0,0.7920391712104902,cuisine,40.0,High,2.0
141,1.0,Low,7,0.978,right,right,90.0,lake,4.0,1.1593513127882034,able,41.0,High,2.0
142,1.0,Low,7,0.924,right,right,90.0,breeze,5.0,1.2477158900874201,girl,42.0,High,2.0
143,1.0,Low,7,1.252,right,right,90.0,nectar,2.0,1.3339217910543084,donate,43.0,High,2.0
144,1.0,Low,3,0.994,right,right,90.0,assure,3.0,1.4406984756642487,grace,44.0,High,2.0
145,1.0,Low,3,0.847,left,left,90.0,safe,3.0,1.5875051488692407,butterfly,45.0,High,2.0
146,1.0,Low,5,0.805,right,right,90.0,bird,6.0,1.81606819992885,politeness,46.0,High,2.0
147,1.0,Low,7,0.766,left,left,90.0,cozy,6.0,1.190003939467715,grateful,47.0,High,2.0
148,1.0,Low,4,1.041,right,right,90.0,wise,6.0,1.4314240912208334,refreshment,48.0,High,2.0
149,1.0,Low,2,0.98,left,left,90.0,kindness,4.0,1.781341067631729,relax,49.0,High,2.0
150,1.0,High,5,2.089,left,left,30.0,rejected,1.0,0.9030677649134304,murderer,0.0,Low,3.0
151,1.0,High,7,0.998,right,right,30.0,terrorist,3.0,1.0882895096438006,syphilis,1.0,Low,3.0
152,1.0,High,2,0.914,right,right,30.0,rabies,5.0,1.2454715596104506,fail,2.0,Low,3.0
153,1.0,High,7,1.228,left,left,30.0,gunpoint,2.0,0.9232567942526657,hurt,3.0,Low,3.0
154,1.0,High,3,0.991,right,right,30.0,disloyal,6.0,1.0842522170569282,mutilation,4.0,Low,3.0
155,1.0,High,1,1.381,left,left,30.0,overweight,5.0,1.6942827959137503,afraid,5.0,Low,3.0
156,0.0,High,4,0.917,right,left,30.0,assault,3.0,1.1974536024208646,war,6.0,Low,3.0
157,1.0,High,3,1.146,right,right,30.0,demon,6.0,1.1433304632082582,trauma,7.0,Low,3.0
158,0.0,High,5,1.26,left,right,30.0,troubled,5.0,1.028162241098471,murder,8.0,Low,3.0
159,1.0,High,7,1.04,right,right,30.0,crushed,3.0,1.2400031695433427,divorce,9.0,Low,3.0
160,1.0,High,7,0.701,left,left,30.0,poisonous,5.0,0.9479421837895643,traffic,10.0,Low,3.0
161,1.0,High,3,0.882,right,right,30.0,whore,2.0,-2.9630923768272623,crash,11.0,Low,3.0
162,1.0,High,2,0.964,left,left,30.0,insecure,6.0,1.8458200147142634,anger,12.0,Low,3.0
163,1.0,High,3,0.679,left,left,30.0,starving,3.0,1.8025258662528358,robbery,13.0,Low,3.0
164,0.0,High,3,0.91,right,left,30.0,banish,6.0,2.114207420294406,pollution,14.0,Low,3.0
165,1.0,High,2,0.884,left,left,30.0,cult,3.0,2.533951112360228,repulsed,15.0,Low,3.0
166,0.0,High,4,0.973,left,right,30.0,rude,5.0,1.95318601251347,burdened,16.0,Low,3.0
167,1.0,High,6,1.244,right,right,30.0,rash,5.0,0.9699735787289683,jealousy,17.0,Low,3.0
168,1.0,High,3,0.966,right,right,30.0,gang,4.0,2.207435996795539,robber,18.0,Low,3.0
169,1.0,High,7,0.769,right,right,30.0,frighten,5.0,1.2180978497490287,destroy,19.0,Low,3.0
170,1.0,High,7,1.364,left,left,30.0,creepy,1.0,0.9908532947010826,burn,20.0,Low,3.0
171,1.0,High,2,0.986,left,left,30.0,criticism,2.0,1.644803264993243,fear,21.0,Low,3.0
172,1.0,High,3,1.043,right,right,30.0,expel,6.0,2.2073025431891438,scared,22.0,Low,3.0
173,1.0,High,2,1.134,right,right,30.0,scold,5.0,1.755301573080942,communism,23.0,Low,3.0
174,1.0,High,7,1.363,left,left,30.0,psycho,1.0,0.809473153349245,paranoid,24.0,Low,3.0
175,1.0,High,1,0.911,left,left,30.0,surgery,2.0,1.4881386685592588,scorn,25.0,Low,3.0
176,1.0,High,2,0.76,left,left,30.0,difficult,3.0,2.1596114831918385,dent,26.0,Low,3.0
177,1.0,High,1,0.914,left,left,30.0,quarrel,2.0,2.196770935843233,wicked,27.0,Low,3.0
178,1.0,High,6,0.962,left,left,30.0,bitch,5.0,1.5013958092895336,bothered,28.0,Low,3.0
179,1.0,High,7,1.397,left,left,30.0,detain,4.0,2.892545781651279,trouble,29.0,Low,3.0
180,0.0,High,1,1.172,right,left,30.0,hazard,6.0,-2.6737213155138306,sever,30.0,Low,3.0
181,1.0,High,7,1.366,right,right,30.0,irritate,1.0,1.2325268799904734,forbid,31.0,Low,3.0
182,0.0,High,2,0.955,right,left,30.0,disruptive,3.0,1.6058505293622147,rattlesnake,32.0,Low,3.0
