"","Word","List","ValMn","ValSD","AroMn","AroSD"
"195","appreciative",2,7.43,"1.36",5.73,"1.36"
"196","erotic",4,7.43,"1.53",7.24,"1.53"
"197","heavenly",3,7.45,"1.62",5.61,"1.62"
"198","elated",1,7.45,"1.77",6.21,"1.77"
"199","sister",4,7.46,"1.77",5.43,"1.77"
"200","magical",2,7.46,"1.64",5.95,"1.64"
"201","good",1,7.47,"1.45",5.43,"1.45"
"202","redeem",6,7.47,"1.28",5.43,"1.28"
"203","surprised",3,7.47,"1.56",7.47,"1.56"
"204","personality",5,7.48,"1.50",5.88,"1.50"
"205","memories",4,7.48,"1.61",6.1,"1.61"
"206","inspiration",3,7.48,"1.71",6.22,"1.71"
"207","arouse",5,7.48,"1.33",6.97,"1.33"
"208","bright",1,7.5,"1.55",5.4,"1.55"
"209","like",6,7.52,"1.72",6.63,"1.72"
"210","flirt",2,7.52,"1.19",6.91,"1.19"
"211","cheery",1,7.55,"1.49",5.99,"1.49"
"212","glory",2,7.55,"1.68",6.02,"1.68"
"213","holiday",5,7.55,"2.14",6.59,"2.14"
"214","fireworks",3,7.55,"1.50",6.67,"1.50"
"215","dog",4,7.57,"1.66",5.76,"1.66"
"216","amuse",6,7.57,"1.38",5.97,"1.38"
"217","spectacular",3,7.57,"1.83",6.43,"1.83"
"218","freedom",6,7.58,"2.04",5.52,"2.04"
"219","knowledge",4,7.58,"1.32",5.92,"1.32"
"220","celebrate",1,7.58,"1.77",6.61,"1.77"
"221","optimistic",5,7.59,"1.32",5.83,"1.32"
"222","magnificence",2,7.59,"1.66",6.15,"1.66"
"223","beautiful",6,7.6,"1.64",6.17,"1.64"
"224","excite",3,7.6,"1.29",7.16,"1.29"
"225","romance",1,7.61,"1.58",6.9,"1.58"
"226","buddy",2,7.62,"1.39",5.43,"1.39"
"227","cute",4,7.62,"1.01",5.53,"1.01"
"228","rejoice",5,7.62,"1.55",6.22,"1.55"
"229","leader",4,7.63,"1.59",6.27,"1.59"
"230","football",2,7.64,"1.75",6.54,"1.75"
"231","generosity",6,7.65,"1.50",5.72,"1.50"
"232","thoughtful",5,7.65,"1.03",5.72,"1.03"
"233","honor",1,7.66,"1.24",5.9,"1.24"
"234","summertime",3,7.66,"1.70",5.95,"1.70"
"235","concert",4,7.66,"1.40",7.32,"1.40"
"236","giggles",3,7.67,"1.45",6.15,"1.45"
"237","enthusiasm",2,7.67,"1.52",6.55,"1.52"
"238","mom",5,7.69,"1.93",5.62,"1.93"
"239","desire",1,7.69,"1.39",7.35,"1.39"
"240","wealthy",6,7.7,"1.34",5.8,"1.34"
"241","intelligent",5,7.71,"1.37",5.81,"1.37"
"242","kissing",2,7.71,"1.53",7.11,"1.53"
"243","compassion",6,7.73,"1.39",5.47,"1.39"
"244","savior",4,7.73,"1.56",5.8,"1.56"
"245","progress",1,7.73,"1.34",6.02,"1.34"
"246","friend",3,7.74,"1.24",5.74,"1.24"
"247","outstanding",2,7.75,"1.75",6.24,"1.75"
"248","fantastic",5,7.76,"1.37",6.35,"1.37"
"249","glad",6,7.77,"1.22",5.7,"1.22"
"250","gift",1,7.77,"2.24",6.14,"2.24"
"251","delightful",3,7.8,"1.52",5.58,"1.52"
"252","triumph",4,7.8,"1.83",5.78,"1.83"
"253","healthy",1,7.82,"1.55",5.67,"1.55"
"254","female",2,7.83,"1.42",5.83,"1.42"
"255","accomplish",5,7.86,"1.50",6.39,"1.50"
"256","succeed",6,7.86,"1.53",6.43,"1.53"
"257","party",4,7.86,"1.83",6.69,"1.83"
"258","achievement",3,7.89,"1.38",5.53,"1.38"
"259","smiling",1,7.9,"1.50",5.67,"1.50"
"260","merry",6,7.9,"1.49",5.9,"1.49"
"261","handsome",5,7.93,"1.47",5.95,"1.47"
"262","fame",2,7.93,"1.29",6.55,"1.29"
"263","weekend",3,7.94,"1.58",6.85,"1.58"
"264","brownies",4,7.96,"1.48",6.42,"1.48"
"265","acceptance",1,7.98,"1.42",5.4,"1.42"
"266","liberty",2,7.98,"1.22",5.6,"1.22"
"267","ecstasy",4,7.98,"1.52",7.38,"1.52"
"268","friendship",3,8,"1.34",6.11,"1.34"
"269","engaged",6,8,"1.38",6.77,"1.38"
"270","beach",5,8.03,"1.59",5.53,"1.59"
"271","laughing",4,8.03,"1.58",6.65,"1.58"
"272","passion",1,8.03,"1.27",7.26,"1.27"
"273","me",2,8.06,"1.29",5.97,"1.29"
"274","giggle",6,8.06,"1.08",6.25,"1.08"
"275","successful",3,8.06,"1.37",6.55,"1.37"
"276","hilarious",5,8.06,"1.42",6.82,"1.42"
"277","joke",2,8.1,"1.36",6.74,"1.36"
"278","valentine",5,8.11,"1.35",6.06,"1.35"
"279","awesome",1,8.11,"1.27",6.71,"1.27"
"280","god",4,8.15,"1.27",5.95,"1.27"
"281","vacation",6,8.16,"1.36",5.64,"1.36"
"282","congratulations",3,8.16,"1.13",6.95,"1.13"
"283","enthusiastic",2,8.17,"1.23",7.38,"1.23"
"284","cure",3,8.18,"1.25",6.57,"1.25"
"285","amazing",5,8.18,"1.26",6.62,"1.26"
