"","SUBJ","meta_d_A-V-","meta_d_A-V+","meta_d_A+V-","meta_d_A+V+","d_A-V-","d_A-V+","d_A+V-","d_A+V+","criterion_A-V-","criterion_A-V+","criterion_A+V-","criterion_A+V+","mratio_A-V-","mratio_A-V+","mratio_A+V-","mratio_A+V+","Confidence.mean_A-V-","Confidence.mean_A-V+","Confidence.mean_A+V-","Confidence.mean_A+V+","RT.median_A-V-","RT.median_A-V+","RT.median_A+V-","RT.median_A+V+","Confidence_RT.median_A-V-","Confidence_RT.median_A-V+","Confidence_RT.median_A+V-","Confidence_RT.median_A+V+","Accuracy_in_percent_A-V-","Accuracy_in_percent_A-V+","Accuracy_in_percent_A+V-","Accuracy_in_percent_A+V+","Handedness_R_1_A-V-","Handedness_R_1_A-V+","Handedness_R_1_A+V-","Handedness_R_1_A+V+","Total_Accepted_Trials_A-V-","Total_Accepted_Trials_A-V+","Total_Accepted_Trials_A+V-","Total_Accepted_Trials_A+V+","Gender_M_1_A-V-","Gender_M_1_A-V+","Gender_M_1_A+V-","Gender_M_1_A+V+","Accuracy.mean_A-V-","Accuracy.mean_A-V+","Accuracy.mean_A+V-","Accuracy.mean_A+V+"
"11","Subject_11125.txt",1.10140429972528,1.69059532492475,2.06238973185371,1.4306314125115,1.22540556560092,1.05978461214782,1.7025948495409,1.40339003564618,0.262287951347061,0.347485083239436,-0.0236933093770698,0.173295716324434,0.898807978879354,1.59522539348679,1.21132149108158,1.01941112318984,4.54421768707483,4.73793103448276,5.2,4.85616438356164,1.72856634615346,1.69742290249269,1.64094958630994,1.7566316960565,1.36,1.31,1.2915,1.327,0.76027397260274,0.689655172413793,0.806666666666667,0.727891156462585,0,0,0,0,146,145,150,147,1,1,1,1,0.727891156462585,0.689655172413793,0.806666666666667,0.76027397260274
"12","Subject_11126.txt",1.72994021950984,1.48079950289825,1.50309521745003,1.82445430591781,1.25615384257487,1.16214675987992,1.29668563104492,0.810104999995922,0.139300510172766,0.181117738844488,0.248387174426984,0.24774181538779,1.37717225460522,1.27419320349114,1.15918244288616,2.25212078178384,4.35714285714286,3.74657534246575,4.75172413793103,3.84507042253521,1.86809455295497,1.86345672952757,1.80355030724786,1.89333743958832,1.3995,1.3745,1.426,1.4165,0.654929577464789,0.719178082191781,0.737931034482759,0.735714285714286,1,1,1,1,142,146,145,140,1,1,1,1,0.735714285714286,0.719178082191781,0.737931034482759,0.654929577464789
"13","Subject_11127.txt",1.87866874496861,2.48157703620705,1.9412537007967,2.44299315389118,1.67412850468268,1.87387028786931,1.22543372068204,1.61861932873529,0.00946013694795977,0.180311483928421,0.175524474156462,0.358565451752288,1.12217714453449,1.32430566420301,1.58413602305333,1.50930679655235,4.29931972789116,4.69064748201439,3.98581560283688,4.5985401459854,1.53679926985569,1.30850075147828,1.49029046947908,1.43072698371179,1.257,1.258,1.176,1.459,0.781021897810219,0.827338129496403,0.730496453900709,0.802721088435374,1,1,1,1,137,139,141,147,0,0,0,0,0.802721088435374,0.827338129496403,0.730496453900709,0.781021897810219
"14","Subject_11129.txt",1.3129048212626,1.19778982426588,0.992035352780776,1.59051366861875,0.745209521834466,1.47734712136825,1.14939680661667,1.47851422629813,0.0884813276081018,0.0433333260695937,-0.0389106732526938,0.176107974693747,1.76179286870979,0.81077074368043,0.86309214282655,1.07575134572837,4.2,4.28,4.21333333333333,4.77027027027027,1.29857477361838,1.24790251729974,1.27459643929069,1.24830688803195,1.0925,1.068,1.067,1.1165,0.77027027027027,0.773333333333333,0.72,0.646666666666667,1,1,1,1,148,150,150,150,0,0,0,0,0.646666666666667,0.773333333333333,0.72,0.77027027027027
"15","Subject_11130.txt",1.90750272718774,2.72404597331421,1.71770322183689,2.38343916455091,1.75824320704449,1.84984550287128,2.0746682380273,1.77213919202624,0.0971147167685271,0.0973186360422569,0.171655934557273,0.322920457557801,1.0848912821305,1.47258026093856,0.827941157218548,1.34495031500642,4.56,5.32885906040268,4.86486486486486,5.02027027027027,1.42847993147734,1.16682337806924,1.37015345527107,1.29883100030747,1.225,1.21,1.1425,1.243,0.804054054054054,0.825503355704698,0.851351351351351,0.813333333333333,1,1,1,1,148,149,148,150,0,0,0,0,0.813333333333333,0.825503355704698,0.851351351351351,0.804054054054054
"16","Subject_11132.txt",1.75984968839872,1.80906840330418,1.46418532652945,1.64620257921544,1.42976421973631,1.69199339269265,1.3293193507534,1.29501669341536,0.252539456233548,0.485278150334593,0.29299822128433,0.405564312827578,1.23086706472714,1.06919353888564,1.10145491051463,1.27118251647698,4.93835616438356,5.02142857142857,4.63703703703704,4.6412213740458,1.35547455324559,1.45473221918655,1.41173907952907,1.50823801525985,1.0985,1.24,1.077,1.191,0.725190839694656,0.778571428571429,0.740740740740741,0.76027397260274,1,1,1,1,131,140,135,146,0,0,0,0,0.76027397260274,0.778571428571429,0.740740740740741,0.725190839694656
"17","Subject_11133.txt",1.74535807300663,2.01180693337421,1.78962215895552,2.10336637742682,1.48153257924258,2.10718947977314,1.43593535060291,1.88791957193427,0.0868378257720924,0.147460614513645,-0.0640392114522603,0.07828160151076,1.17807606627114,0.954734708333303,1.24631109485821,1.11411863550512,4.62666666666667,4.86986301369863,4.44666666666667,4.83783783783784,1.45900392949989,1.26538284974959,1.35726354737562,1.34362994992989,1.139,1.0595,1.0985,1.1655,0.831081081081081,0.856164383561644,0.766666666666667,0.773333333333333,1,1,1,1,148,146,150,150,0,0,0,0,0.773333333333333,0.856164383561644,0.766666666666667,0.831081081081081
"18","Subject_11134.txt",2.0625556309858,2.97272496671346,2.13973714212538,2.38351411563566,1.5951761865334,2.12435514141374,1.90579721404981,1.74204556181649,0.336502004741366,0.146812482864054,0.0779078728773841,0.279326599467765,1.29299550005702,1.39935404808781,1.12275174207987,1.36822719673893,5.21621621621622,5.60135135135135,5.48666666666667,5.57432432432432,1.08176389349683,1.04795834075048,1.08317782493395,1.01336105055816,1.1925,1.252,1.251,1.26,0.804054054054054,0.858108108108108,0.833333333333333,0.777027027027027,1,1,1,1,148,148,150,148,0,0,0,0,0.777027027027027,0.858108108108108,0.833333333333333,0.804054054054054
"19","Subject_11135.txt",1.42714570794224,2.05111397393562,1.26573962083764,1.92298252071857,1.49179719672804,1.60921970122912,1.35804759778263,1.76414568434516,0.194092313825446,0.380153286933338,0.307362344798946,0.0146571477768633,0.956662012150443,1.27460158011301,0.932028908930951,1.09003612217682,4.22916666666667,4.93006993006993,3.6304347826087,4.61702127659574,1.54475346217077,1.4859605882084,1.66198777167301,1.65665540331975,1.4095,1.326,1.2935,1.394,0.815602836879433,0.776223776223776,0.746376811594203,0.770833333333333,1,1,1,1,141,143,138,144,1,1,1,1,0.770833333333333,0.776223776223776,0.746376811594203,0.815602836879433
"20","Subject_11136.txt",1.31549163731658,1.58079729368072,1.52960261070648,1.502069637684,1.30655344778307,1.48179336453849,1.19051190685617,0.660755269682229,0.0317400545835688,0.0771450936432092,0.00355977198760871,-0.0584976294418535,1.00684104393026,1.06681358650372,1.28482764590382,2.2732616849297,3.9041095890411,4.1027397260274,3.98601398601399,4.17361111111111,1.63940144905791,1.60736399230518,1.60711890016682,1.68250799196539,1.268,1.2495,1.239,1.213,0.631944444444444,0.773972602739726,0.727272727272727,0.746575342465753,1,1,1,1,144,146,143,146,0,0,0,0,0.746575342465753,0.773972602739726,0.727272727272727,0.631944444444444
