,Unnamed: 0,Accuracy,Arousal,Confidence,Confidence_RT,Expected,KeyPressed,LearningTime,LeftWord,MarkerStart,RT,RightWord,TrialNumber,Valence,nBlock,Subject
104,104,True,Low,7.0,1.51,right,right,90.0,chess,3.0,1.3360317055194173,hat,4.0,High,2.0,0
105,105,False,Low,4.0,1.942,left,right,90.0,cattle,5.0,1.795776193146594,sensitive,5.0,High,2.0,0
106,106,True,Low,2.0,1.093,left,left,90.0,refine,4.0,1.3963283574557863,outlet,6.0,High,2.0,0
107,107,True,Low,7.0,1.5930000000000002,left,left,90.0,telescope,1.0,0.7412562219542451,farm,7.0,High,2.0,0
108,108,False,Low,1.0,0.742,right,left,90.0,tend,2.0,1.822421682620188,beads,8.0,High,2.0,0
109,109,True,Low,7.0,1.143,right,right,90.0,number,3.0,1.3131229171995074,method,9.0,High,2.0,0
110,110,True,Low,2.0,2.5580000000000003,right,right,90.0,read,6.0,1.8590229398978408,quiet,10.0,High,2.0,0
111,111,True,Low,6.0,1.0590000000000002,left,left,90.0,dew,4.0,1.699713652167702,windmill,11.0,High,2.0,0
112,112,False,Low,1.0,0.8079999999999999,right,left,90.0,golfer,1.0,1.8470121147693133,straighten,12.0,High,2.0,0
113,113,True,Low,6.0,1.203,left,left,90.0,scarf,3.0,2.657567333139013,candle,13.0,High,2.0,0
114,114,False,Low,2.0,1.374,right,left,90.0,send,1.0,2.0296052082849196,land,14.0,High,2.0,0
115,115,True,Low,7.0,1.127,right,right,90.0,pecan,4.0,1.4738440543296747,teacher,15.0,High,2.0,0
116,116,True,Low,5.0,1.5430000000000001,right,right,90.0,rink,5.0,1.3824921692139471,leg,16.0,High,2.0,0
117,117,True,Low,6.0,2.2769999999999997,left,left,90.0,den,2.0,0.9919975952652748,cat,17.0,High,2.0,0
118,118,True,Low,5.0,1.5430000000000001,left,left,90.0,harvest,3.0,1.1984259531309365,gender,18.0,High,2.0,0
119,119,True,Low,1.0,1.188,left,left,90.0,sheltered,6.0,2.26463755153236,modest,19.0,High,2.0,0
120,120,False,Low,6.0,1.577,left,right,90.0,owl,6.0,1.470772054832196,cinnamon,20.0,High,2.0,0
121,121,True,Low,7.0,0.893,left,left,90.0,crackers,6.0,1.1615536182071082,slogan,21.0,High,2.0,0
122,122,True,Low,7.0,0.993,right,right,90.0,piano,5.0,1.169889656972373,lamb,22.0,High,2.0,0
123,123,True,Low,6.0,1.207,right,right,90.0,groceries,3.0,2.023886913462775,window,23.0,High,2.0,0
124,124,True,Low,1.0,1.5530000000000002,left,left,90.0,inform,2.0,2.6660182189953052,town,24.0,High,2.0,0
125,125,,Low,,,right,,90.0,porpoise,,,listen,25.0,High,2.0,0
