,Subject,Valence,Arousal,Confidence,RT,Accuracy,MetadPrime,dPrime,HR,FAR,Mratio,Reject
13,11116,High,Low,5.061643835616438,1.131214254637598,0.7465753424657534,2.0139091114819,1.49587574186009,0.653326403326403,0.17411642411642403,1.3463077547989601,0
14,11116,Low,High,4.831081081081081,1.2637009702302748,0.75,1.45730729198724,1.4423707694589698,0.6595634095634101,0.232287449392713,1.01035553606918,0
15,11116,Low,Low,3.865771812080537,1.2517669771623332,0.7181208053691275,1.4360123560251299,1.2326999590441399,0.6558974358974361,0.306174089068826,1.1649325900348402,0
16,11117,High,High,3.0208333333333335,1.6021210462640738,0.7013888888888888,0.784173510626909,1.10423377321253,0.564278187565859,0.338777660695469,0.7101517175530021,0
17,11117,High,Low,2.893617021276596,1.4285404024412856,0.7092198581560284,1.2766458314655,1.11840439468856,0.596153846153846,0.338777660695469,1.14148856847169,0
18,11117,Low,High,3.0208333333333335,1.4127474826673279,0.7361111111111112,0.718446857116048,1.28390028862043,0.5916754478398311,0.34193888303477304,0.5595815060436109,0
19,11117,Low,Low,2.6875,1.6272679093963234,0.7291666666666666,1.08964239650243,1.2016882236613502,0.626923076923077,0.38613360323886603,0.9067596528344691,0
20,11118,High,High,4.208053691275167,1.308998564723879,0.7919463087248322,2.0239564487060497,1.61958172568369,0.734871794871795,0.254554655870445,1.24967849205119,0
21,11118,High,Low,4.285714285714286,1.339559461659519,0.7346938775510204,2.62958533498083,1.31900296079784,0.728717948717949,0.22297297297297303,1.99361594563082,0
22,11118,Low,High,3.5547945205479454,1.4566901044890983,0.7465753424657534,1.70161031815235,1.31399740332302,0.68970893970894,0.322765072765073,1.29498758053028,0
23,11118,Low,Low,3.547945205479452,1.3370547987869943,0.7945205479452054,1.58581443444618,1.68251652079195,0.66754478398314,0.27025641025641,0.942525327299457,0
24,11119,High,High,5.0,0.8510637478757417,0.8082191780821918,3.0956281746560603,1.72063725979523,0.7957380457380459,0.17931392931392898,1.79911724974761,0
25,11119,High,Low,5.061224489795919,0.8605752111179754,0.8435374149659864,2.92979654023857,2.04608236834016,0.840512820512821,0.211538461538462,1.4319054724152198,0
26,11119,Low,High,4.537414965986395,0.9510500816977584,0.7687074829931972,2.56334855460935,1.60911305561977,0.731288981288981,0.19128205128205103,1.5930195492833399,0
27,11119,Low,Low,4.333333333333333,0.9558890614716802,0.7755102040816326,2.31831900846987,1.81864444291417,0.6938461538461539,0.17619542619542602,1.27475110239527,0
28,11120,High,High,4.102739726027397,1.4584766783373198,0.773972602739726,1.29384231571017,1.48721485376434,0.716410256410256,0.32718651211801897,0.8699767302856609,0
29,11120,High,Low,4.448275862068965,1.280305839754874,0.8482758620689655,1.96980334484562,2.03082008795751,0.7832640332640329,0.249209694415174,0.9699546289335459,0
30,11120,Low,High,4.033783783783784,1.4559646386333043,0.7432432432432432,1.47883598068625,1.29106242933696,0.6917948717948721,0.32358974358974396,1.14544110887474,0
31,11120,Low,Low,4.0137931034482754,1.5143459425598849,0.7310344827586207,1.4855311653583898,1.23529695728111,0.689673340358272,0.324844074844075,1.2025700837376398,0
32,11121,High,High,3.7103448275862068,1.629108469200219,0.7379310344827587,1.8321941639033401,1.25489133654405,0.722972972972973,0.34720758693361403,1.46004208535631,0
33,11121,High,Low,4.527027027027027,1.517334207197564,0.8378378378378378,1.2998073843006699,1.94684880864977,0.737348178137652,0.259355509355509,0.667646803658139,0
34,11121,Low,High,4.1866666666666665,1.6722216715124887,0.74,1.754388190347,1.26960378043665,0.700910931174089,0.308198380566802,1.38183913546919,0
35,11121,Low,Low,4.578231292517007,1.5536000544079798,0.7959183673469388,2.05046774603785,1.6720155222554298,0.7738461538461541,0.28534303534303496,1.22634492248727,0
36,11122,High,High,4.606896551724138,1.2902978479050944,0.7862068965517242,1.71943579131356,1.6198009817348502,0.6907894736842111,0.21397616468039002,1.06151052549184,0
37,11122,High,Low,4.837837837837838,1.377417357592094,0.7702702702702703,1.8655297284166101,1.4684407298194297,0.7133333333333329,0.241538461538462,1.2704154076726002,0
38,11122,Low,High,4.547297297297297,1.4183806274552353,0.7635135135135135,2.0538762718574097,1.41455768317778,0.7667004048583,0.29989604989605,1.4519565347405299,0
39,11122,Low,Low,4.136054421768708,1.367311637545754,0.7346938775510204,2.05782326408361,1.23531334178712,0.706340956340956,0.28974358974359005,1.66583100374077,0
40,11123,High,High,4.2885906040268456,1.1249552883273282,0.7516778523489933,1.4874275470087002,1.4609297566793502,0.644230769230769,0.250769230769231,1.01813762106508,0
41,11123,High,Low,4.431506849315069,1.127176836867875,0.726027397260274,2.04608046399723,1.27528524351378,0.634358974358974,0.222866174920969,1.6044100521070002,0
42,11123,Low,High,4.563758389261745,1.0707485415568954,0.7449664429530202,1.54040400035896,1.30640739946176,0.678461538461538,0.27985829959514197,1.1791145709934099,0
43,11123,Low,Low,4.224489795918367,1.085631793968787,0.6802721088435374,1.25857449480333,0.922545933631539,0.6475237091675451,0.347672064777328,1.36424046643297,0
44,11124,High,High,4.971014492753623,1.2180900805187775,0.8043478260869565,1.92427644436025,1.7127663773279398,0.7798216276477149,0.26273022751895997,1.1234903194224801,0
45,11124,High,Low,4.76595744680851,1.1457835889959824,0.7872340425531915,2.36257552424734,1.69999405962455,0.7163461538461541,0.180390032502709,1.38975516465577,0
46,11124,Low,High,5.006896551724138,1.22348404283548,0.8758620689655172,2.0800817643830602,2.2598339117905497,0.8076923076923079,0.203222453222453,0.92045780600528,0
47,11124,Low,Low,4.791946308724833,1.2577514549175248,0.8657718120805369,2.29739108817229,2.1725907678539,0.793333333333333,0.209008097165992,1.05744308691953,0
48,11125,High,High,4.8561643835616435,1.7566316960565018,0.7602739726027398,1.42442797854376,1.40339003564618,0.688568376068376,0.260627530364372,1.01499080253045,0
49,11125,High,Low,4.739726027397261,1.6955215099242196,0.684931506849315,1.68178605352101,1.01907777207585,0.6158906882591091,0.258012820512821,1.6503019687057299,0
50,11125,Low,High,5.2,1.6409495863099437,0.8066666666666666,2.06304746200445,1.7025948495409,0.7545546558704449,0.22419028340081,1.21170780151293,0
51,11125,Low,Low,4.54421768707483,1.7285663461534568,0.7278911564625851,1.09823335530909,1.22540556560092,0.624341412012645,0.27884615384615397,0.896220309535259,0
52,11126,High,High,3.8541666666666665,1.8968750751864718,0.6597222222222222,1.82380655259193,0.840188794000846,0.656444906444906,0.314636752136752,2.17071039939398,0
53,11126,High,Low,3.7465753424657535,1.8634567295275701,0.7191780821917808,1.48722021328832,1.1621467598799198,0.660602910602911,0.308212058212058,1.27971807402533,0
54,11126,Low,High,4.760273972602739,1.80195416071183,0.7397260273972602,1.50995803703612,1.3091931193908501,0.6651282051282049,0.23972602739725998,1.1533501167029399,0
55,11126,Low,Low,4.352112676056338,1.8680945529549717,0.7323943661971831,1.7336850974376898,1.2303704549761898,0.700320512820513,0.284722222222222,1.4090756897045702,0
56,11127,High,High,4.605633802816901,1.4231681046585436,0.7887323943661971,2.4404751806203504,1.67730059487878,0.74868282402529,0.197724810400867,1.45500167833466,0
57,11127,High,Low,4.715277777777778,1.3061874537852418,0.8333333333333334,2.47590718002006,1.92233143250555,0.7665598290598291,0.186590436590437,1.2879710221421001,0
58,11127,Low,High,3.9722222222222223,1.4959195687151805,0.7291666666666666,1.91407339812994,1.2251712686916498,0.6907484407484411,0.278311965811966,1.5622904707632899,0
59,11127,Low,Low,4.299319727891157,1.5367992698556918,0.8027210884353742,1.85977081615826,1.6741285046826802,0.7434210526315791,0.260800842992624,1.11088892576425,0
60,11128,High,High,3.6,1.4958278115318535,0.7,1.21893582055321,1.04062837237041,0.623076923076923,0.336969001148106,1.17134594146866,0
61,11128,High,Low,3.7238805970149254,1.3971740244160171,0.753731343283582,1.11396132231014,1.35295134592193,0.673913043478261,0.345005740528129,0.823356527688772,0
62,11128,Low,High,3.6857142857142855,1.4029683474418562,0.7785714285714286,0.320809132428912,1.5584378189813999,0.642307692307692,0.34241452991453,0.20585302058351898,0
63,11128,Low,Low,2.6564885496183206,1.4163052031835832,0.648854961832061,1.1488396296693602,0.7952457080383628,0.549704142011834,0.36368778280543,1.4446348066476298,0
64,11129,High,High,4.76510067114094,1.2385854691528948,0.7718120805369127,1.5785005029941601,1.48962863366494,0.6847165991902829,0.24666666666666698,1.05966041959771,0
65,11129,High,Low,4.283783783783784,1.2472280314086674,0.7702702702702703,1.19339433112907,1.45720999266379,0.695897435897436,0.312307692307692,0.818958377404163,0
66,11129,Low,High,4.228187919463087,1.2741749056585832,0.7181208053691275,1.01771060502534,1.13800958926907,0.664473684210526,0.34923076923076896,0.8942900082933449,0
67,11129,Low,Low,4.216216216216216,1.295479035761673,0.6486486486486487,1.31306439800284,0.7570655144044229,0.606666666666667,0.34615384615384603,1.73441316903177,0
68,11130,High,High,5.02054794520548,1.2848482369572594,0.8013698630136986,2.39549266601665,1.7528616389387899,0.737525987525988,0.19178794178794198,1.36661822747569,0
69,11130,High,Low,5.328859060402684,1.166823378069239,0.825503355704698,2.7435457835784196,1.84984550287128,0.808198380566802,0.19333333333333302,1.4831215792453798,0
70,11130,Low,High,4.871621621621622,1.3701534552710655,0.8513513513513513,1.7234316624416501,2.05648350574893,0.7946985446985451,0.24746963562753,0.838047889819574,0
71,11130,Low,Low,4.533783783783784,1.426674622538485,0.8108108108108109,1.8577293129360402,1.7396147802903899,0.758461538461539,0.263076923076923,1.0678969470620001,0
72,11131,High,High,3.75,1.2972378319100244,0.7071428571428572,1.32024532406427,1.38702112802075,0.658179848320693,0.30498374864572,0.951856678598853,1
